GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,16,3,0,0,4,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,9,3,0,0,3,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,100,7,6,0,26,2,9,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,125,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,100,7,6,0,26,2,9,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,103,7,6,0,27,2,9,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,100,7,6,0,26,2,9,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,109,7,6,0,28,2,9,2,6,2
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,63,0,4,0,17,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,UserService,38,71,2,4,7,17,3,8,2,6
spring-boot-skeleton,com.nnk.springboot.services,BidService,0,66,0,4,0,16,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,RuleService,0,81,0,4,0,19,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,66,0,4,0,16,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,78,0,4,0,18,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.configuration,CustumLogoutSuccessHandler,16,7,0,0,5,2,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.configuration,CustumAuthentificationSuccesHandler,12,3,0,0,4,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.configuration,SecurityConfig,0,80,0,0,0,25,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,56,0,0,0,24,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,76,0,0,0,32,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,Trade,185,43,0,0,74,19,35,10,35,10
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,35,46,0,0,14,20,5,10,5,10
spring-boot-skeleton,com.nnk.springboot.domain,Users,18,38,0,0,7,17,1,11,1,11
spring-boot-skeleton,com.nnk.springboot.domain,Bid,185,46,0,0,74,20,35,10,35,10
